,sector,price,dcf_value,comps_value,fair_value,upside,wacc,beta,terminal_share,peer_count,dcf_vs_comps_gap,dcf_failed,confidence
MMM,Industrials,176.27,54.639175237608065,127.11214807745384,83.62836437354638,-0.5255666626564568,0.09208445465774762,1.0088389784877698,0.5304890236485891,5,-0.5701498553520272,False,medium
LIN,Basic Materials,478.38,171.98224011350618,331.98485661004696,235.9832867121225,-0.5067032762403895,0.08078949367301062,0.8094927889721255,0.6081055640179016,6,-0.48195757520494864,False,high
SHW,Basic Materials,340.9,79.9401739588989,278.78625752643507,159.47860738591336,-0.5321836098975847,0.08982809625057822,1.0595365067283424,0.5596558074576985,6,-0.7132564041420915,False,medium
NEM,Basic Materials,93.71,139.1283978108585,209.06654698167455,167.10365747918493,0.783199845045192,0.07518567932686723,0.6551267309807421,0.6585702865193452,6,-0.3345257774642749,False,high
DOW,Basic Materials,30.29,,108.16295814094717,108.16295814094717,2.570913111289111,0.065,0.6269312862795737,,6,,True,low
ECL,Basic Materials,277.81,86.9628374523128,188.06762419335587,127.40475214873003,-0.541396090318095,0.08385346176286188,0.9187927186684779,0.596932098271455,6,-0.5375980431224852,False,medium
PPG,Basic Materials,110.51,75.10672390808985,202.2704141367781,125.97219999956515,0.13991674961148437,0.08390641544554943,1.0455477705325786,0.5884487996877746,6,-0.62868161303461,False,medium
VMC,Basic Materials,268.58,54.32322928400891,196.74584545609102,111.29227575284176,-0.5856270915450079,0.09122573950260197,1.0330243964105739,0.5346783996813353,5,-0.7238913525310878,False,medium
NEE,Utilities,86.9309,42.84585643004714,41.359832089786835,42.25144669394302,-0.513965152851943,0.06849652832123813,0.7745153040116954,0.68895791120663,6,0.03592916762897724,False,high
DUK,Utilities,125.345,125.20830551052785,144.1528497493841,132.78612320607036,0.05936513786804709,0.065,0.5871644389213575,0.7068740195791564,6,-0.13141983853799732,False,high
SO,Utilities,94.605,18.143096961645806,87.0304271699925,45.69802904498449,-0.5169596845305799,0.065,0.556561705386568,0.674233107970223,6,-0.7915315648605546,False,medium
D,Utilities,69.2,140.92769132244624,66.45720509143277,111.13949683004086,0.6060620929196654,0.065,0.7654437723823261,0.733644880177119,6,1.1205780641625829,False,medium
AEP,Utilities,127.85,93.75098518554613,124.0124685538708,105.855578532876,-0.1720330189059367,0.065,0.677756117233681,0.6952966691330268,6,-0.24401968383670336,False,high
XEL,Utilities,78.2,18.08076207129483,72.44365042029634,39.825917410895435,-0.49071716865862613,0.065,0.5951424542279062,0.6831776509912195,5,-0.7504161929113777,False,medium
PEG,Utilities,76.68,139.40536512101778,91.45271052071463,120.22430328089652,0.5678704131572314,0.065,0.6719965115567381,0.7259560575643429,5,0.5243437217690947,False,medium
